dataTime,Temperature (ºC),Relative_Humidity (prc),Precipitation (mm),Solar_Radiation (W/m2),Wind_direction (º),Wind_Speed (Km/h),
00:00:00,11.690529,59,0,0,100.49147,15.111424,
00:05:00,11.33663959,58.9977593,0,0,101.3206204,15.60775297,
00:10:00,10.99442054,58.04785018,0,0,101.1866341,14.79009667,
00:15:00,10.96808312,59.74973835,0,0,100.5554903,14.52049872,
00:20:00,12.067638,58.55013871,0,0,100.6018008,14.7748228,
00:25:00,12.63541197,58.13944848,0,0,100.9391196,14.50544509,
00:30:00,12.62974455,59.0282121,0,0,101.4137348,15.53760148,
00:35:00,11.47724798,59.29489741,0,0,101.0682744,15.21493506,
00:40:00,10.94632782,59.87874683,0,0,101.2268796,14.26378092,
00:45:00,11.1137512,59.07600368,0,0,101.2771383,15.37305588,
00:50:00,11.60423557,59.1042207,0,0,101.4404781,15.599943,
00:55:00,11.63552331,59.71392848,0,0,99.83145775,15.03273792,
01:00:00,10.180529,63,0,0,92.48955,16.575644,
01:05:00,10.0561254,63.68494749,0,0,91.90142581,17.39422559,
01:10:00,9.749221226,63.05030794,0,0,93.06417731,17.05129561,
01:15:00,10.58103955,62.28734981,0,0,93.48600877,16.31426792,
01:20:00,10.04382516,63.33391014,0,0,91.67054352,15.58789927,
01:25:00,9.460900235,62.38135049,0,0,93.04280351,16.80983902,
01:30:00,10.23002722,62.50737457,0,0,92.42952905,16.76770273,
01:35:00,11.08464048,62.38289224,0,0,92.74552892,15.70681165,
01:40:00,9.455749652,62.68300393,0,0,93.1625501,15.62370488,
01:45:00,10.1550716,63.92380213,0,0,91.58547563,16.8502402,
01:50:00,10.60509523,62.37454335,0,0,92.98273916,16.45859219,
01:55:00,10.14761496,63.08220483,0,0,92.99499751,15.697439,
02:00:00,8.8005295,67,0,0,94.398705,18.775301,
02:05:00,9.610091582,67.77112184,0,0,94.03004233,19.04829922,
02:10:00,8.181370662,66.41995873,0,0,94.3871717,19.12616292,
02:15:00,8.165759148,66.8214407,0,0,93.84907409,18.94071619,
02:20:00,9.024233454,66.46464593,0,0,93.53782059,18.77925255,
02:25:00,8.841822561,66.61516877,0,0,94.46071826,18.91730505,
02:30:00,8.892597802,67.28815329,0,0,94.81271655,19.70145941,
02:35:00,8.179965781,66.39736927,0,0,94.68899458,19.05089168,
02:40:00,9.390240657,67.57177809,0,0,94.88644709,19.69325506,
02:45:00,8.675415845,66.51194289,0,0,95.22956358,19.21370995,
02:50:00,8.980701363,66.32944003,0,0,95.20749867,19.37007871,
02:55:00,8.346773573,67.65785895,0,0,93.61201872,18.62407636,
03:00:00,7.8305287,71,0,0,128.6598,19.523155,
03:05:00,8.25371965,70.48473004,0,0,128.1029824,19.87051083,
03:10:00,8.196841078,70.95673538,0,0,128.5602003,19.17491058,
03:15:00,7.975096315,71.88249337,0,0,129.2231554,20.40178723,
03:20:00,8.77410266,71.44720238,0,0,129.2245028,20.27164692,
03:25:00,6.899987982,71.93330658,0,0,129.6149976,19.48087498,
03:30:00,6.900258219,70.06986553,0,0,128.3479373,20.01610584,
03:35:00,7.259922231,70.22769812,0,0,129.0584383,20.19440794,
03:40:00,7.818157133,70.25929008,0,0,127.9470848,18.62085937,
03:45:00,8.755011695,71.23321295,0,0,129.5908897,19.64703608,
03:50:00,8.66735106,71.69486573,0,0,128.0357753,19.03545711,
03:55:00,7.904293794,71.98832842,0,0,128.4238467,18.80192923,
04:00:00,7.0705285,73,0,0,128.6598,20.721119,
04:05:00,7.646331751,73.92202295,0,0,127.7405431,20.88239785,
04:10:00,7.539470419,73.49012926,0,0,128.6250741,20.43894711,
04:15:00,6.972559565,72.8459405,0,0,129.6461255,20.3770893,
04:20:00,6.36255528,73.56904132,0,0,128.9569534,20.00930206,
04:25:00,7.622891451,73.61136716,0,0,129.0148578,19.75536418,
04:30:00,7.178610085,72.65348656,0,0,128.1679896,21.70673838,
04:35:00,7.222496898,73.86229091,0,0,128.6514302,20.19819406,
04:40:00,6.865990605,72.25838794,0,0,127.9888338,20.31153173,
04:45:00,7.748937045,73.13016955,0,0,128.5069889,21.66682377,
04:50:00,7.824773121,73.53569664,0,0,127.8987651,21.11772342,
04:55:00,7.201170263,72.24295161,0,0,128.0487873,21.17179584,
05:00:00,6.2605286,76,0,0,104.03624,20.418695,
05:05:00,6.442118446,76.81318105,0,0,103.1529295,21.35031642,
05:10:00,5.500563281,75.89144136,0,0,104.5496773,19.92069174,
05:15:00,6.437849349,76.20101905,0,0,103.633092,20.43172161,
05:20:00,7.160867349,75.21949589,0,0,103.7128305,19.83976006,
05:25:00,6.097025196,76.44977214,0,0,104.3540791,19.69023624,
05:30:00,5.803821415,75.25251569,0,0,103.7879765,20.57972485,
05:35:00,5.651819545,75.22067711,0,0,104.7670866,21.2401022,
05:40:00,5.559968176,75.21106843,0,0,104.767361,20.44245708,
05:45:00,6.729484916,75.34043317,0,0,103.0804025,20.63995173,
05:50:00,6.993972001,75.39608817,0,0,103.7054576,20.78494514,
05:55:00,6.878191478,,0,0,103.3195214,20.57578479,
06:00:00,5.7405286,78,0,2.67,63.43495,17.935081,
06:05:00,5.267645851,78.89460578,0,3.417785876,63.4357887,18.66404484,
06:10:00,6.380763685,78.56652402,0,2.883563032,63.10234956,16.98043105,
06:15:00,4.927773124,78.28244859,0,2.706495192,62.85559758,18.0618288,
06:20:00,5.402082081,77.18352562,0,2.044360013,63.28463344,18.34304123,
06:25:00,4.973245666,78.43647712,0,2.620760855,63.59945223,17.62879779,
06:30:00,5.689344271,78.50784246,0,2.401274089,63.46075902,18.41502407,
06:35:00,6.430147034,78.14183656,0,2.535468829,63.35809315,18.76049663,
06:40:00,5.398511652,77.6696175,0,2.058201803,63.92420681,18.66383709,
06:45:00,6.4342386,77.28401901,0,3.06921133,62.9627469,18.72278507,
06:50:00,5.11073324,78.29418268,0,1.881085593,62.87593777,17.77686964,
06:55:00,6.555702368,78.02612821,0,2.415772348,63.37165738,18.41785945,
07:00:00,6.3405285,75,0,98.79,296.56506,17.313717,
07:05:00,6.032741629,74.62555694,0,99.62696185,297.0287634,17.75133024,
07:10:00,7.272700197,75.35844881,0,98.46435206,296.3829064,16.4930552,
07:15:00,5.421382553,74.29579027,0,98.7392129,297.3561556,17.57767401,
07:20:00,6.925155211,74.95667384,0,98.29698619,295.7075936,16.52747804,
07:25:00,6.738629996,75.94392864,0,98.48418531,296.6396083,16.81277689,
07:30:00,6.384036366,75.36845748,0,98.42361867,296.9846093,18.26795342,
07:35:00,6.896746043,75.10983846,0,99.04220118,296.1669411,18.06881285,
07:40:00,6.395536054,74.46560354,0,98.12341477,297.357206,16.71050378,
07:45:00,6.000251761,75.45008695,0,98.85588412,296.311565,16.38222643,
07:50:00,7.236519032,74.19940065,0,97.90119046,297.16646,17.87671891,
07:55:00,6.918455931,74.18776827,0,99.36288746,296.5795236,17.6758866,
08:00:00,8.020529,67,0,256.32,270,17.294992,
08:05:00,8.678432424,67.73067355,0,257.240118,270.4761885,16.91317209,
08:10:00,8.341357811,67.53038254,0,256.7845875,269.6857974,17.10087519,
08:15:00,8.005742874,67.78397985,0,256.9396782,269.2238353,17.93412829,
08:20:00,8.231394071,67.67574106,0,256.5149202,269.2141635,17.05116279,
08:25:00,8.142658278,66.4455471,0,256.3152198,269.3368796,17.26391456,
08:30:00,8.37986408,66.77188287,0,257.0248771,270.9655603,17.14081053,
08:35:00,8.102905186,66.62278212,0,256.9019603,269.5959253,17.67251511,
08:40:00,7.814699508,67.96808338,0,256.9268327,270.967796,16.45512119,
08:45:00,8.583439527,67.71003999,0,256.0495993,270.7921361,18.08349565,
08:50:00,8.888691057,67.76244296,0,255.6741975,269.6222696,16.80167606,
08:55:00,7.266493297,66.17485708,0,257.1563874,270.0129637,18.06898533,
09:00:00,9.980529,60,0,420.08,360,17.339897,
09:05:00,10.74015026,59.17229866,0,419.4877284,359.9657858,17.95488032,
09:10:00,10.51438253,60.6403551,0,419.3769481,360.8086783,18.17068891,
09:15:00,10.59011982,59.88635075,0,420.6363527,360.8246565,16.95475843,
09:20:00,9.990017261,59.28913469,0,419.1339153,359.8617116,17.61045077,
09:25:00,9.626989996,59.41926954,0,420.6480324,360.7395479,17.74643546,
09:30:00,9.200671085,59.57281276,0,420.4498989,360.2347455,17.13492327,
09:35:00,10.15345102,59.65461014,0,419.1444325,359.2814606,18.05503608,
09:40:00,10.15468352,59.99178012,0,419.1803427,360.1162928,16.98424059,
09:45:00,10.04731061,60.59869754,0,421.022447,360.6868556,17.49364264,
09:50:00,10.59977009,60.78317752,0,419.26926,359.8172887,17.34960054,
09:55:00,9.805043023,60.56241848,0,419.7902929,359.8802888,17.76653576,
10:00:00,12.410529,54,0,574.05,34.99202,15.119999,
10:05:00,11.74132022,53.11264931,0,574.1354763,34.40978744,14.81206489,
10:10:00,13.32233566,54.74806435,0,574.6821326,35.63578995,15.65082758,
10:15:00,13.12888097,53.87654846,0,574.7639401,35.4859605,15.15984884,
10:20:00,12.56222478,54.09253487,0,573.2892322,35.46765459,14.87821069,
10:25:00,13.05838763,54.96381048,0,573.9749699,34.33665299,14.33284157,
10:30:00,12.74771503,53.53751224,0,574.9410364,35.72823472,15.49886783,
10:35:00,11.69755124,54.00153705,0,574.4689639,34.74398168,15.83171495,
10:40:00,11.77475703,53.17539031,0,574.0986839,35.12723732,15.44368652,
10:45:00,13.32338705,53.37420487,0,574.0083149,35.85527453,15.57066457,
10:50:00,13.05985455,53.11014386,0,573.3657451,35.04671751,15.24941391,
10:55:00,12.70806512,54.39608141,0,574.5971603,35.18249359,15.59150813,
11:00:00,14.540529,49,0,707.55,23.629364,7.754637,
11:05:00,14.67959299,48.18225577,0,708.3481052,23.79316761,7.023052499,
11:10:00,14.56545433,48.16051885,0,706.6046684,24.47929838,7.29071087,
11:15:00,13.68450848,49.15364515,0,706.5815179,23.2409476,7.680544874,
11:20:00,13.85184576,49.03194803,0,707.0919161,23.74191218,7.900654467,
11:25:00,14.23970255,49.08816598,0,707.6126502,23.4682545,7.434326748,
11:30:00,14.19683478,48.12353008,0,706.8378516,24.19652837,8.492869171,
11:35:00,15.0135299,48.43404763,0,706.7035986,23.3155876,8.358969814,
11:40:00,15.40463358,48.07571382,0,706.7388595,22.82276751,8.740882822,
11:45:00,15.05513664,48.74530655,0,708.0452176,24.16660578,7.781499832,
11:50:00,14.09831471,49.33640745,0,707.0713991,24.33758004,8.020917983,
11:55:00,14.60392126,48.42903919,0,708.2990887,24.20352421,8.499642539,
12:00:00,16.20053,39,0,810.79,24.775131,4.8433046,
12:05:00,16.05371646,38.12602852,0,811.6826131,24.27621598,3.925413124,
12:10:00,16.01133201,38.15889133,0,810.7856807,24.3298114,4.020736108,
12:15:00,16.89673551,38.65985918,0,810.0853738,24.40030188,4.177932588,
12:20:00,16.57355779,38.74069305,0,809.8951323,25.53109037,4.117734872,
12:25:00,15.40761544,38.58904513,0,810.4665723,24.742207,4.8034355,
12:30:00,16.17300145,38.63762553,0,810.6913615,25.13350186,5.44394551,
12:35:00,16.69730068,38.91838464,0,811.5611877,25.42447319,3.850493691,
12:40:00,16.89511616,39.09800357,0,810.9273433,23.93809262,4.000317875,
12:45:00,16.13232367,39.60281728,0,811.373365,25.22073438,4.763938378,
12:50:00,15.53642771,39.17253431,0,810.0676042,23.94001162,5.012778737,
12:55:00,15.80976017,39.55614664,0,810.3295327,25.43820291,5.71451235,
13:00:00,17.500528,33,0,876.64996,41.987198,5.315336,
13:05:00,16.67144345,33.32137391,0,876.4514605,41.05061667,4.89098731,
13:10:00,17.03514135,32.94077783,0,876.2649119,42.47224524,5.036130139,
13:15:00,18.3241828,33.08579939,0,875.8665045,41.38924823,4.603173364,
13:20:00,16.96177356,33.75259641,0,876.5750263,42.6431524,6.150272805,
13:25:00,17.86798062,33.61462362,0,876.9783217,41.16026069,5.384680009,
13:30:00,16.50675203,33.223815,0,876.7913854,42.34609654,4.627763263,
13:35:00,17.62535999,32.1686452,0,876.8625711,42.26963599,6.023434361,
13:40:00,16.97271137,33.15672661,0,877.0273235,41.6580581,5.324866548,
13:45:00,17.59556491,33.59567693,0,875.9663656,42.28867435,5.373525548,
13:50:00,16.76566343,33.07713795,0,876.2910637,42.15360728,5.389716299,
13:55:00,17.26356752,32.947709,0,877.2629474,42.79617257,5.557547191,
14:00:00,18.88053,29,0,893.56,360,4.68,
14:05:00,18.41336235,28.1920433,0,893.7796413,360.0907362,5.006657979,
14:10:00,19.43423493,29.62915165,0,893.7674252,360.0375873,4.183031872,
14:15:00,18.31401048,29.97341242,0,893.3651408,359.7084831,5.588019103,
14:20:00,19.04033193,28.33351884,0,894.3290533,360.6579251,4.614508536,
14:25:00,19.06581185,29.71285987,0,892.7575458,359.6207233,4.621599766,
14:30:00,19.30628792,28.15712674,0,894.1549239,360.2849469,4.71454042,
14:35:00,19.60992369,28.48382736,0,893.138066,359.2630676,4.973117819,
14:40:00,18.11538325,28.17064007,0,892.7293643,360.6016837,3.850726358,
14:45:00,18.59479877,29.53977249,0,892.5705195,359.0041376,4.100652371,
14:50:00,18.34668176,28.60620365,0,892.76792,359.2565955,5.329277095,
14:55:00,18.79373587,28.7258806,0,894.0133232,360.5682534,3.825098608,
15:00:00,19.65053,27,0,870.42,16.69925,3.4152596,
15:05:00,19.88523068,26.4773418,0,869.479768,16.76029755,4.399780363,
15:10:00,20.19698494,26.33134379,0,869.484723,16.85986761,3.945214328,
15:15:00,18.98995919,27.21356838,0,871.1978783,17.51258568,2.466167944,
15:20:00,19.34670546,27.32478053,0,869.5232379,17.58656617,3.257681552,
15:25:00,20.14568138,26.18960291,0,870.9575904,17.62720382,3.163127322,
15:30:00,19.14455143,27.99088961,0,870.6003664,16.3850612,2.457875108,
15:35:00,18.78970541,27.61764513,0,869.716361,16.78121517,3.397874458,
15:40:00,19.8682058,27.16523418,0,869.5292347,15.78886493,3.312723689,
15:45:00,18.7443735,26.65647753,0,870.384804,16.26317307,3.199205469,
15:50:00,19.61775489,27.91624252,0,869.799812,15.7894807,3.860605885,
15:55:00,19.14002171,26.95503792,0,871.3927454,16.88848914,2.95911886,
16:00:00,20.100529,26,0,803.67,30.963745,1.484318,
16:05:00,19.32538806,26.96070141,0,803.5777323,30.87226101,2.121019296,
16:10:00,19.28092099,25.87143622,0,803.2709076,31.86247942,2.383459175,
16:15:00,21.03245434,25.33283434,0,803.2672929,30.42994343,0.962144548,
16:20:00,19.97822077,26.5877349,0,803.2009812,31.82357572,1.858590298,
16:25:00,19.98962962,25.74373478,0,802.810162,30.5454153,0.593314194,
16:30:00,20.69251158,25.23979964,0,802.7955432,30.58812279,2.377230162,
16:35:00,20.23941693,26.64050732,0,803.9648145,31.39461013,0.496320059,
16:40:00,19.81819028,26.38917671,0,803.1223399,31.54898945,0.924859269,
16:45:00,20.08040078,25.9315461,0,804.4645918,31.41389362,1.916317057,
16:50:00,20.05207027,25.7666805,0,804.4675054,31.88890937,1.421583513,
16:55:00,20.07384216,26.91274251,0,803.6420522,30.29385049,1.317053616,
17:00:00,20.340528,26,0,698.64996,33.690063,1.484318,
17:05:00,20.12285321,25.64449652,0,699.0792978,33.36401288,1.121292215,
17:10:00,19.42066653,26.98919458,0,697.9500382,32.8544811,0.608803459,
17:15:00,19.39929345,25.53116501,0,698.7571231,34.35901736,2.427588609,
17:20:00,20.6659288,26.72925571,0,697.724178,33.66747899,2.261227892,
17:25:00,20.34318206,26.01973442,0,699.10549,33.70656753,0.777764943,
17:30:00,21.01981406,26.36165859,0,698.9269076,33.45724026,2.21744461,
17:35:00,19.71491503,25.23666098,0,699.5742787,32.7344166,2.010853924,
17:40:00,21.11523341,25.92338799,0,697.9444709,33.20182064,0.547901079,
17:45:00,20.4731294,25.00476382,0,699.2192843,34.32995375,0.871835032,
17:50:00,20.34470629,25.75205161,0,699.1179399,34.66822595,2.153857174,
17:55:00,20.2050737,26.44547149,0,698.273794,32.96981507,2.344477006,
18:00:00,20.270529,25,0,566.93,33.690063,3.219938,
18:05:00,19.30562608,25.13903761,0,565.9753556,33.42438071,2.774649258,
18:10:00,20.78124208,24.85610355,0,566.743787,33.60230785,3.230031846,
18:15:00,20.18142158,24.55528984,0,567.8434387,33.32883617,3.421233108,
18:20:00,20.87422605,25.10374411,0,566.2040892,33.81896536,3.406518849,
18:25:00,20.27761396,25.01329793,0,566.0158129,34.07826753,2.735466451,
18:30:00,19.78795792,24.11447155,0,565.9860136,32.69311328,3.228233363,
18:35:00,20.58009142,25.6886301,0,566.493858,33.92257806,2.943957101,
18:40:00,19.27354514,24.61047681,0,566.6126329,32.87213337,3.565809078,
18:45:00,20.63028,24.95434595,0,567.0038115,32.90413863,3.772981297,
18:50:00,19.53703958,25.42016187,0,566.2689695,33.77840371,3.131477083,
18:55:00,20.93147459,24.17979819,0,567.9208924,33.61650312,4.070243946,
19:00:00,19.97053,26,0,411.18,47.489548,4.8433046,
19:05:00,19.2626238,26.86739339,0,410.6180057,47.49718624,4.549756464,
19:10:00,20.15028367,25.7244108,0,411.957212,48.47285442,4.481219544,
19:15:00,20.34408529,26.06317669,0,410.6000276,46.68840241,5.243150921,
19:20:00,20.17195235,26.17989843,0,411.127896,47.77512332,5.219173446,
19:25:00,20.9181355,26.49745396,0,410.6222245,47.00043475,5.557117257,
19:30:00,20.41557088,25.61083631,0,410.6300617,46.68160695,4.952992339,
19:35:00,20.39120276,26.71767587,0,411.1532917,47.86552643,4.439433433,
19:40:00,20.04378649,26.90335111,0,411.827958,48.16664954,4.193512018,
19:45:00,20.52564623,25.0597607,0,411.4804658,47.68223545,5.107146719,
